Temp,Humd,Label
32.0,43.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,42.0,1
32.0,42.0,1
32.0,43.0,1
32.0,43.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,40.0,1
32.0,40.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,38.0,1
32.0,47.0,1
32.0,46.0,1
32.0,46.0,1
32.0,46.0,1
32.0,46.0,1
32.0,45.0,1
32.0,45.0,1
32.0,45.0,1
32.0,44.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,56.0,1
32.0,54.0,1
32.0,53.0,1
32.0,52.0,1
32.0,52.0,1
32.0,51.0,1
32.0,51.0,1
32.0,51.0,1
32.0,50.0,1
32.0,49.0,1
32.0,48.0,1
32.0,47.0,1
32.0,47.0,1
32.0,47.0,1
32.0,46.0,1
32.0,46.0,1
32.0,45.0,1
32.0,45.0,1
32.0,42.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,37.0,1
32.0,37.0,1
32.0,37.0,1
32.0,37.0,1
32.0,37.0,1
32.0,37.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,37.0,1
32.0,53.0,1
32.0,53.0,1
32.0,52.0,1
32.0,52.0,1
32.0,51.0,1
32.0,50.0,1
32.0,49.0,1
32.0,48.0,1
32.0,45.0,1
32.0,44.0,1
32.0,43.0,1
32.0,43.0,1
32.0,42.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,40.0,1
32.0,40.0,1
32.0,39.0,1
32.0,39.0,1
32.0,37.0,1
32.0,36.0,1
32.0,36.0,1
32.0,36.0,1
32.0,36.0,1
32.0,35.0,1
32.0,35.0,1
32.0,35.0,1
32.0,34.0,1
32.0,34.0,1
32.0,34.0,1
32.0,33.0,1
32.0,33.0,1
32.0,33.0,1
32.0,32.0,1
32.0,32.0,1
32.0,32.0,1
32.0,32.0,1
32.0,32.0,1
31.0,32.0,1
31.0,31.0,1
31.0,31.0,1
31.0,31.0,1
31.0,31.0,1
31.0,31.0,1
31.0,31.0,1
31.0,31.0,1
31.0,30.0,1
31.0,30.0,1
31.0,30.0,1
31.0,30.0,1
31.0,30.0,1
31.0,29.0,1
31.0,29.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,26.0,1
31.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,25.0,1
30.0,26.0,1
30.0,27.0,1
30.0,27.0,1
30.0,47.0,1
30.0,61.0,1
